SampleID	nEvalVariants	novelSites	nVariantsAtComp	nInsertions	nDeletions	InsDelRatio	nSingletons	nHets	nHomRef	nHomVar	HetHomeRatio	nTi	nTv	TiTvRatio
Sample-001	3849129	349460	3499669	179803	211408	0.85	12897	2423976	34593271	1425153	1.7	1961937	1047296	1.87
Sample-002	3815534	334143	3481391	178521	210833	0.85	13763	2440755	34621095	1374779	1.78	1962590	1044838	1.88
Sample-003	4471107	415767	4055340	204906	249536	0.82	50084	3052977	33959285	1418130	2.15	2334836	1232177	1.89
Sample-004	4322699	393749	3928950	198618	240438	0.83	45329	2894440	34101318	1428259	2.03	2250662	1188404	1.89
Sample-005	3845876	343293	3502583	179544	209947	0.86	13121	2422755	34595799	1423121	1.7	1967284	1050950	1.87
Sample-006	3822538	336991	3485547	178618	211542	0.84	14816	2427692	34622357	1394846	1.74	1960315	1044733	1.88
Sample-007	3790689	334898	3455791	177930	206486	0.86	13229	2373956	34640120	1416733	1.68	1944108	1035546	1.88
Sample-008	3835222	345614	3489608	179600	210753	0.85	12854	2411804	34612691	1423418	1.69	1959828	1045843	1.87
Sample-009	3875078	355542	3519536	181325	212496	0.85	15414	2485966	34573880	1389112	1.79	1974180	1056028	1.87
Sample-010	3898966	370695	3528271	183038	215392	0.85	22611	2480728	34544288	1418238	1.75	1978199	1057880	1.87
Sample-011	4613935	426688	4187247	209740	258874	0.81	62316	3216318	33801393	1397617	2.3	2409832	1270060	1.9
Sample-012	3851371	352912	3498459	180549	211596	0.85	14580	2446619	34583541	1404752	1.74	1963276	1048992	1.87
Sample-013	3940047	375630	3564417	184620	212513	0.87	20005	2555434	34528199	1384613	1.85	1998513	1070450	1.87
Sample-014	3780544	323393	3457151	176618	208272	0.85	12160	2361997	34630743	1418547	1.67	1950279	1034730	1.88
Sample-015	3863274	352724	3510550	181084	211059	0.86	14135	2430226	34579257	1433048	1.7	1976935	1054927	1.87
Sample-016	3847662	350354	3497308	179722	212484	0.85	19554	2443632	34590528	1404030	1.74	1984102	1054375	1.88
Sample-017	3817885	342665	3475220	178715	209146	0.85	13520	2410701	34619652	1407184	1.71	1957148	1042159	1.88
Sample-018	3771249	319449	3451800	175831	207488	0.85	13157	2340024	34607059	1431225	1.63	1950756	1035143	1.88
Sample-019	3850656	343649	3507007	180218	212984	0.85	14746	2465138	34593163	1385518	1.78	1976448	1051834	1.88
Sample-020	3818501	341545	3476956	178918	210377	0.85	12682	2378363	34619036	1440138	1.65	1947230	1041402	1.87
Sample-021	3800904	328629	3472275	177845	208106	0.85	13129	2381813	34609828	1419091	1.68	1965200	1044159	1.88
Sample-022	3909806	358222	3551584	182793	213385	0.86	18633	2532302	34538324	1377504	1.84	1997095	1066737	1.87
Sample-023	3900507	352935	3547572	182071	214429	0.85	23102	2532397	34540510	1368110	1.85	2004766	1066998	1.88
Sample-024	3835486	351604	3483882	179290	211765	0.85	10041	2408380	34606106	1427106	1.69	1954202	1045140	1.87
Sample-025	3822385	328243	3494142	178716	210743	0.85	16863	2456302	34606036	1366083	1.8	1973227	1047971	1.88
Sample-026	3862959	353738	3509221	180205	215755	0.84	14083	2451366	34584888	1411593	1.74	1986902	1058983	1.88
Sample-027	3868157	351469	3516688	181332	212176	0.85	17701	2456376	34584870	1411781	1.74	1977726	1056133	1.87
Sample-028	4547183	442693	4104490	208722	255678	0.82	51852	3119369	33900266	1427814	2.18	2359122	1248986	1.89
Sample-029	3927994	363809	3564185	183983	215983	0.85	20383	2541853	34514806	1386141	1.83	2000521	1066947	1.87
Sample-030	3870432	354588	3515844	181636	213755	0.85	14721	2495582	34579684	1374850	1.82	1974028	1053880	1.87
Sample-031	3867189	343697	3523492	180900	215040	0.84	20707	2507495	34550335	1359694	1.84	1992510	1058629	1.88
Sample-032	3861086	351650	3509436	181035	211648	0.86	13198	2435674	34582581	1425412	1.71	1962069	1050771	1.87
Sample-033	3843266	352943	3490323	179950	212619	0.85	13207	2429176	34589810	1414090	1.72	1956350	1043962	1.87
Sample-034	4500741	422750	4077991	205601	250453	0.82	46503	3164060	33944405	1336681	2.37	2335288	1236940	1.89
Sample-035	3837481	351666	3485815	179414	210516	0.85	13856	2404185	34603917	1433296	1.68	1958217	1045670	1.87
Sample-036	3799149	344896	3454253	178187	208975	0.85	13342	2395331	34633307	1403818	1.71	1937984	1034990	1.87
Sample-037	3848223	356440	3491783	180530	211922	0.85	14010	2425771	34602950	1422452	1.71	1956346	1048368	1.87
Sample-038	3846519	350355	3496164	180212	211944	0.85	14080	2449582	34599024	1396937	1.75	1963093	1046439	1.88
Sample-039	3861980	348459	3513521	180758	209165	0.86	14625	2475763	34585239	1386217	1.79	1979816	1057179	1.87
Sample-040	3874972	345658	3529314	181109	212175	0.85	15631	2498508	34556274	1376464	1.82	1989681	1059908	1.88
Sample-041	3873456	352787	3520669	181654	210968	0.86	15618	2480425	34583421	1393031	1.78	1981151	1057420	1.87
Sample-042	3888157	354845	3533312	181691	214276	0.85	13941	2518219	34559215	1369938	1.84	1981309	1058231	1.87
Sample-043	3883355	356603	3526752	181287	211577	0.86	13955	2505118	34570393	1378237	1.82	1977413	1058490	1.87
Sample-044	4455470	399850	4055620	203478	247067	0.82	47398	3024343	33957945	1431127	2.11	2339350	1231114	1.9
Sample-045	3832181	347250	3484931	178675	211157	0.85	17001	2419007	34603792	1413174	1.71	1960808	1045988	1.87
Sample-046	3895322	359721	3535601	182293	212971	0.86	13730	2504640	34553129	1390682	1.8	1975311	1057896	1.87
Sample-047	3857618	351294	3506324	181359	210675	0.86	12838	2434003	34591786	1423615	1.71	1959843	1048336	1.87
Sample-048	3828674	338998	3489676	178463	210521	0.85	15277	2456734	34616757	1371940	1.79	1975484	1050746	1.88
Sample-049	3846287	345867	3500420	180005	211611	0.85	14161	2434717	34592501	1411570	1.72	1966162	1049829	1.87
Sample-050	3891276	347437	3543839	181765	214687	0.85	15903	2516367	34547815	1374909	1.83	1993479	1062118	1.88
Sample-051	4674211	448826	4225385	213407	263831	0.81	66797	3225718	33757337	1448493	2.23	2439343	1285295	1.9
Sample-052	3863227	348320	3514907	180999	211262	0.86	14504	2478547	34579520	1384680	1.79	1980522	1056101	1.88
Sample-053	3871965	363825	3508140	181655	214444	0.85	21544	2439733	34567251	1432232	1.7	1976447	1053826	1.88
Sample-054	3903650	365731	3537919	181623	213334	0.85	28673	2534314	34541889	1369336	1.85	1994691	1064545	1.87
Sample-055	3862339	353600	3508739	180993	211961	0.85	12499	2451620	34581461	1410719	1.74	1970024	1053766	1.87
Sample-056	3843817	360688	3483129	179629	211097	0.85	30335	2290471	34587728	1553346	1.47	1961185	1050788	1.87
Sample-057	3828884	337395	3491489	178233	210943	0.84	13009	2417391	34595871	1411493	1.71	1963666	1045804	1.88
Sample-058	3837632	351724	3485908	179495	209234	0.86	13488	2414266	34610207	1423366	1.7	1965113	1048957	1.87
Sample-059	3835431	346925	3488506	179494	208722	0.86	12954	2416587	34610086	1418844	1.7	1969837	1049426	1.88
Sample-060	3837924	352684	3485240	179212	211507	0.85	13638	2411070	34602184	1426854	1.69	1953904	1044640	1.87
Sample-061	3858378	338304	3520074	180400	213296	0.85	13834	2487664	34585376	1370714	1.81	1985677	1056819	1.88
Sample-062	3803502	329614	3473888	177274	208969	0.85	13142	2377979	34609202	1425523	1.67	1961171	1045227	1.88
Sample-063	3835341	349561	3485780	179487	211950	0.85	13638	2409545	34605394	1425796	1.69	1958627	1046254	1.87
Sample-064	3932983	372161	3560822	183398	214808	0.85	27411	2551864	34514154	1381119	1.85	2004397	1071137	1.87
Sample-065	3890896	356992	3533904	181786	213415	0.85	14279	2498202	34561714	1392694	1.79	1979764	1058427	1.87
Sample-066	3883921	353725	3530196	182151	212850	0.86	12987	2501386	34563727	1382535	1.81	1979399	1056548	1.87
Sample-067	3833670	353396	3480274	179439	212772	0.84	13387	2414231	34608370	1419439	1.7	1950726	1044005	1.87
Sample-068	4669059	452345	4216714	212530	262841	0.81	62788	3237805	33772347	1431254	2.26	2422176	1281170	1.89
Sample-069	4606455	444026	4162429	211414	252431	0.84	63478	3145096	33693752	1461359	2.15	2402905	1266371	1.9
Sample-070	3729817	313122	3416695	176039	194529	0.9	13167	2285394	34526265	1444423	1.58	1945742	1026851	1.89
Sample-071	3752015	314806	3437209	177288	195601	0.91	13324	2312191	34532843	1439824	1.61	1951847	1032574	1.89
Sample-072	3837864	346829	3491035	183456	203255	0.9	13145	2390590	34456559	1447274	1.65	1962264	1046221	1.88
Sample-073	3844362	351815	3492547	182855	203524	0.9	14675	2404664	34467681	1439698	1.67	1970167	1051411	1.87
Sample-074	3779904	313353	3466551	179009	196127	0.91	14750	2382301	34490119	1397603	1.7	1971322	1039769	1.9
Sample-075	3872545	361356	3511189	184086	205105	0.9	24852	2429921	34419311	1442624	1.68	1988746	1059254	1.88
Sample-076	3860182	348281	3511901	183986	204785	0.9	15862	2460992	34423559	1399190	1.76	1975751	1051759	1.88
Sample-077	4583154	431123	4152031	212452	246193	0.86	58792	3177525	33717491	1405629	2.26	2391141	1257666	1.9
Sample-078	4545007	430046	4114961	210437	246895	0.85	53667	3069515	33731559	1475492	2.08	2372954	1249365	1.9
Sample-079	3896030	352618	3543412	185840	206395	0.9	14471	2499312	34402022	1396718	1.79	1993951	1061916	1.88
Sample-080	3826738	339901	3486837	181609	202097	0.9	13488	2395652	34456732	1431086	1.67	1968580	1046236	1.88
Sample-081	3765911	323280	3442631	178323	196961	0.91	14024	2330875	34507881	1435036	1.62	1954338	1034882	1.89
Sample-082	3833771	336822	3496949	181882	200821	0.91	13327	2410165	34446844	1423606	1.69	1977672	1050001	1.88
Sample-083	3862106	352952	3509154	184040	204739	0.9	13446	2410317	34447696	1451789	1.66	1977386	1053762	1.88
Sample-084	3858552	340394	3518158	183387	202679	0.9	14686	2452722	34434342	1405830	1.74	1983741	1053411	1.88
Sample-085	3824916	329782	3495134	180105	200297	0.9	14641	2415718	34455651	1409198	1.71	1985677	1050439	1.89
Sample-086	3875448	366280	3509168	184523	205217	0.9	25338	2440477	34423843	1434971	1.7	1985153	1056180	1.88
Sample-087	3898022	368592	3529430	185258	207093	0.89	26689	2450394	34399507	1447628	1.69	1996154	1064807	1.87
Sample-088	3877885	354841	3523044	184515	206055	0.9	14733	2472711	34433692	1405174	1.76	1984942	1057730	1.88
Sample-089	3829793	343294	3486499	183901	201119	0.91	13375	2385824	34474528	1443969	1.65	1960459	1042158	1.88
Sample-090	3817490	342046	3475444	180935	201403	0.9	13694	2381758	34480885	1435732	1.66	1965754	1045753	1.88
Sample-091	3843079	351934	3491145	182845	203137	0.9	13562	2412752	34474990	1430327	1.69	1971323	1049767	1.88
Sample-092	3827570	373173	3454397	176207	208649	0.84	15628	2403450	34468474	1424120	1.69	1975512	1056832	1.87
Sample-093	3794291	335225	3459066	181114	194431	0.93	13372	2351120	34504908	1443171	1.63	1970564	1043409	1.89
Sample-094	3795571	328316	3467255	179568	198930	0.9	14704	2385172	34461895	1410399	1.69	1966466	1040344	1.89
Sample-095	3784903	330646	3454257	179810	199486	0.9	14499	2350396	34502133	1434507	1.64	1954355	1037359	1.88
Sample-096	3832101	331665	3500436	181007	202498	0.89	15713	2442409	34450453	1389692	1.76	1985615	1050684	1.89
Sample-097	3761007	311286	3449721	176776	196830	0.9	13890	2330147	34480806	1430860	1.63	1960347	1035248	1.89
Sample-098	3863536	375029	3488507	184507	207361	0.89	11980	2425450	34494280	1438086	1.69	1958961	1051090	1.86
Sample-099	3792187	331825	3460362	179529	198770	0.9	19101	2365508	34481595	1426679	1.66	1966589	1041618	1.89
Sample-100	3843227	348513	3494714	183091	203121	0.9	13259	2415023	34467135	1428204	1.69	1966240	1049157	1.87
Sample-101	4576476	432327	4144149	211343	247725	0.85	55996	3094439	33704457	1482037	2.09	2380681	1255266	1.9
Sample-102	3785734	328800	3456934	180079	199789	0.9	13415	2344610	34492460	1441124	1.63	1949668	1035247	1.88
Sample-103	3826102	331724	3494378	181674	200883	0.9	14412	2379764	34447185	1446338	1.65	1974019	1045996	1.89
Sample-104	3789019	325322	3463697	179859	199354	0.9	14551	2350293	34472735	1438726	1.63	1958335	1038089	1.89
Sample-105	3854197	346575	3507622	183970	203943	0.9	14786	2440938	34467273	1413259	1.73	1973857	1050380	1.88
Sample-106	3796746	318094	3478652	180076	198393	0.91	14389	2353662	34457738	1443084	1.63	1966622	1040402	1.89
Sample-107	3839580	336252	3503328	181174	202774	0.89	15089	2436264	34457473	1403316	1.74	1982672	1052631	1.88
Sample-108	3777777	330217	3447560	179215	200002	0.9	14853	2342710	34501277	1435067	1.63	1947481	1032815	1.89
Sample-109	4542299	431256	4111043	210417	246534	0.85	52564	3085011	33742987	1457288	2.12	2356607	1243612	1.89
Sample-110	4282438	374407	3908031	198414	226328	0.88	35704	2968068	33981339	1314370	2.26	2248078	1182017	1.9
Sample-111	3756626	317956	3438670	177101	197001	0.9	14379	2323461	34478073	1433165	1.62	1955877	1034024	1.89
Sample-112	3806954	339875	3467079	180901	200499	0.9	13888	2371311	34482440	1435643	1.65	1958358	1041329	1.88
Sample-113	3800792	336910	3463882	179178	201646	0.89	13492	2377907	34447685	1422885	1.67	1968919	1045154	1.88
Sample-114	3829274	342714	3486560	180496	203040	0.89	13027	2394154	34447208	1435120	1.67	1968066	1047002	1.88
Sample-115	4509578	414369	4095209	207364	244504	0.85	50965	3167826	33747014	1341752	2.36	2361248	1240038	1.9
Sample-116	3835898	340389	3495509	180446	202015	0.89	14411	2435871	34422318	1400027	1.74	1984669	1052940	1.88
Sample-117	3807714	327993	3479721	180052	199660	0.9	15143	2395501	34465731	1412213	1.7	1974463	1045711	1.89
Sample-118	3777490	334732	3442758	177856	199987	0.89	11781	2335766	34477654	1441724	1.62	1953058	1036915	1.88
Sample-119	3780808	317888	3462920	179155	195702	0.92	13474	2336670	34482676	1444138	1.62	1964110	1039521	1.89
Sample-120	4603176	436154	4167022	211805	251170	0.84	56902	3204309	33664516	1398867	2.29	2397017	1262210	1.9
Sample-121	3874695	348908	3525787	182955	206533	0.89	15657	2482694	34396886	1392001	1.78	1998567	1062550	1.88
Sample-122	4573782	433856	4139926	209369	249810	0.84	57704	3076876	33675936	1496906	2.06	2386999	1258260	1.9
Sample-123	3833557	345086	3488471	182121	203246	0.9	13124	2394004	34465044	1439553	1.66	1967522	1047098	1.88
Sample-124	3746518	320124	3426394	176493	192960	0.91	12955	2303415	34489367	1443103	1.6	1952883	1034396	1.89
Sample-125	3819101	341828	3477273	181980	200943	0.91	11549	2375312	34464271	1443789	1.65	1959566	1042221	1.88
Sample-126	3790944	332406	3458538	180317	199298	0.9	13512	2359802	34477289	1431142	1.65	1949901	1036436	1.88
Sample-127	4311628	381957	3929671	198820	231344	0.86	40067	2954691	33926834	1356937	2.18	2262048	1189735	1.9
Sample-128	3858457	344368	3514089	183294	203520	0.9	15373	2464654	34391876	1393803	1.77	1986538	1052474	1.89
Sample-129	3817494	344674	3472820	181929	202308	0.9	13729	2373415	34472540	1444079	1.64	1960210	1042217	1.88
Sample-130	4543318	421407	4121911	207573	248337	0.84	54935	3053246	33679964	1490072	2.05	2377263	1251097	1.9
Sample-131	3811054	341775	3469279	179835	201386	0.89	17947	2375756	34452661	1435298	1.66	1970340	1045209	1.89
Sample-132	3875426	337733	3537693	183059	203075	0.9	22288	2460767	34402839	1414659	1.74	2006161	1063675	1.89
Sample-133	3797048	344388	3452660	179694	202283	0.89	13812	2369338	34484196	1427710	1.66	1948120	1036101	1.88
Sample-134	4630679	433892	4196787	211941	251524	0.84	63212	3205250	33626520	1425429	2.25	2428057	1275229	1.9
Sample-135	3823576	335447	3488129	181347	201109	0.9	13481	2377468	34438756	1446108	1.64	1969728	1046062	1.88
Sample-136	4590097	432270	4157827	210846	248277	0.85	62139	3061805	33677495	1528292	2	2409143	1264279	1.91
Sample-137	3819120	340643	3478477	181225	201658	0.9	14921	2414170	34478340	1404950	1.72	1963448	1043434	1.88
Sample-138	3811468	332997	3478471	180782	199991	0.9	13689	2380684	34467001	1430784	1.66	1967123	1043875	1.88
Sample-139	3804831	332826	3472005	180180	199497	0.9	13694	2368042	34465430	1436789	1.65	1964603	1042969	1.88
Sample-140	3801251	328234	3473017	179714	199411	0.9	11149	2351242	34468390	1450009	1.62	1964360	1040293	1.89
Sample-141	3799246	328450	3470796	180020	198835	0.91	13833	2338697	34481528	1460549	1.6	1957921	1040291	1.88
Sample-142	3847265	352758	3494507	183274	204729	0.9	14237	2397439	34426492	1449826	1.65	1964258	1047597	1.88
Sample-143	3809688	327201	3482487	181770	199867	0.91	16056	2425504	34483120	1384184	1.75	1971668	1044901	1.89
Sample-144	3814623	328030	3486593	180247	200345	0.9	14110	2411477	34479827	1403146	1.72	1976902	1045608	1.89
Sample-145	3841050	341192	3499858	180719	204696	0.88	65271	2272058	34399597	1568992	1.45	1985767	1053940	1.88
Sample-146	3821298	344175	3477123	181220	204193	0.89	14364	2404667	34439396	1416631	1.7	1958922	1042624	1.88
Sample-147	3834770	333962	3500808	181713	200338	0.91	17054	2395940	34437872	1438830	1.67	1985152	1051594	1.89
Sample-148	3878039	349010	3529029	184704	205404	0.9	15305	2479784	34421086	1398255	1.77	1988782	1057604	1.88
Sample-149	4493747	425782	4067965	206711	245393	0.84	48719	3038960	33765379	1454787	2.09	2341702	1234223	1.9
Sample-150	3832309	347563	3484746	181682	204044	0.89	14258	2392539	34433828	1439770	1.66	1966727	1046321	1.88
Sample-151	4585488	436429	4149059	210770	250291	0.84	58075	3075645	33661845	1509843	2.04	2387594	1257412	1.9
Sample-152	4633949	435290	4198659	212575	252672	0.84	63046	3229784	33650633	1404165	2.3	2428332	1276232	1.9
Sample-153	3820377	340916	3479461	181200	202749	0.89	14011	2384036	34432528	1436341	1.66	1968133	1044821	1.88
Sample-154	3800213	336944	3463269	180391	200422	0.9	13329	2354637	34479856	1445576	1.63	1954861	1039812	1.88
Sample-155	3817715	346747	3470968	181464	202342	0.9	13814	2388940	34473633	1428775	1.67	1955420	1040756	1.88
Sample-156	3782843	328250	3454593	181412	196920	0.92	12636	2352466	34512362	1430377	1.64	1942121	1030997	1.88
Sample-157	3876740	361298	3515442	185762	206479	0.9	64709	2295574	34426300	1581166	1.45	1968019	1052399	1.87
Sample-158	3851201	353165	3498036	185075	201314	0.92	14017	2426422	34468075	1424779	1.7	1955068	1042434	1.88
Sample-159	4128134	384556	3743578	194934	219833	0.89	25464	2781256	34192997	1346878	2.06	2115669	1125465	1.88
Sample-160	3875040	359788	3515252	184918	204422	0.9	16227	2450374	34433441	1424666	1.72	1969190	1050349	1.87
Sample-161	3917864	367419	3550445	186901	208959	0.89	13903	2516796	34410778	1401068	1.8	1991263	1063806	1.87
Sample-162	3860537	357312	3503225	185565	202873	0.91	13210	2425194	34450599	1435343	1.69	1956328	1042499	1.88
Sample-163	3879292	364761	3514531	185283	207113	0.89	13982	2446760	34452241	1432532	1.71	1967362	1053731	1.87
Sample-164	3792546	331241	3461305	179620	201471	0.89	12879	2358043	34471361	1434503	1.64	1949033	1035913	1.88
Sample-165	3768469	324081	3444388	178279	200142	0.89	15420	2334360	34447987	1434109	1.63	1954575	1029627	1.9
Sample-166	3732229	313508	3418721	175959	196090	0.9	14166	2288265	34511095	1443964	1.58	1959170	1031071	1.9
Sample-167	4421529	396093	4025436	202637	237725	0.85	50768	2963235	33807470	1458294	2.03	2341600	1225114	1.91
Sample-168	3728462	308625	3419837	176168	195843	0.9	13008	2284336	34499584	1444126	1.58	1947650	1027216	1.9
Sample-169	4533445	421882	4111563	207689	247924	0.84	55683	3129359	33727804	1404086	2.23	2377323	1251789	1.9
Sample-170	3881882	337247	3544635	183351	205645	0.89	17789	2492612	34349364	1389270	1.79	2019632	1066582	1.89
Sample-171	3807525	334454	3473071	180312	201511	0.89	14783	2365161	34440296	1442364	1.64	1970025	1043520	1.89
Sample-172	4555535	425901	4129634	208708	247240	0.84	58977	3047662	33683865	1507873	2.02	2394088	1258140	1.9
Sample-173	3690455	304898	3385557	173506	193042	0.9	13828	2257405	34539973	1433050	1.58	1945507	1021466	1.9
Sample-174	3800647	324636	3476011	178467	199942	0.89	30581	2319734	34409688	1480913	1.57	1986172	1046259	1.9
Sample-175	3839228	351781	3487447	182052	203960	0.89	23002	2395447	34442306	1443781	1.66	1981971	1051157	1.89
Sample-176	3788169	315956	3472213	179701	198798	0.9	14789	2384322	34474342	1403847	1.7	1977319	1041851	1.9
Sample-177	3673558	280274	3393284	172057	189242	0.91	13704	2256650	34528050	1416908	1.59	1956676	1021003	1.92
Sample-178	3777305	325408	3451897	179702	199926	0.9	12730	2340514	34473270	1436791	1.63	1950901	1034063	1.89
Sample-179	3774507	326561	3447946	178703	198871	0.9	13638	2325767	34460567	1448740	1.61	1952849	1032652	1.89
Sample-180	3827678	330344	3497334	181700	202773	0.9	16702	2444620	34415978	1383058	1.77	1979172	1046204	1.89
Sample-181	3753679	308304	3445375	176635	197234	0.9	14250	2348221	34473428	1405458	1.67	1970497	1036626	1.9
Sample-182	3772048	327942	3444106	179002	199415	0.9	14282	2322596	34475746	1449452	1.6	1946874	1029435	1.89
Sample-183	3779193	318446	3460747	177614	200543	0.89	15610	2397494	34476065	1381699	1.74	1983699	1043576	1.9
Sample-184	3757351	315217	3442134	178255	198318	0.9	14086	2314097	34490521	1443254	1.6	1951118	1031626	1.89
Sample-185	4327425	361060	3966365	196760	230808	0.85	53812	2946315	33863509	1381110	2.13	2324193	1207690	1.92
Sample-186	3772399	315828	3456571	177803	198780	0.89	14918	2363879	34477354	1408520	1.68	1969582	1037929	1.9
Sample-187	3805679	331392	3474287	181002	202275	0.89	13999	2368158	34452389	1437521	1.65	1955141	1038878	1.88
Sample-188	3806544	320949	3485595	179176	202154	0.89	23098	2392132	34440396	1414412	1.69	1988254	1046815	1.9
Sample-189	3781612	325411	3456201	180070	200433	0.9	13549	2345676	34485806	1435936	1.63	1950631	1032985	1.89
Sample-190	3787806	330864	3456942	179896	199511	0.9	15572	2348297	34461041	1439509	1.63	1959570	1036119	1.89
Sample-191	3732417	312316	3420101	175103	196728	0.89	14065	2301236	34502153	1431181	1.61	1949827	1027046	1.9
Sample-192	3808329	336545	3471784	181034	202240	0.9	14432	2367502	34476521	1440827	1.64	1965057	1042473	1.88
Sample-193	4029672	347100	3682572	189333	214616	0.88	36013	2679648	34224558	1350024	1.98	2089918	1101978	1.9
Sample-194	3795562	333842	3461720	179926	201617	0.89	13075	2344718	34440148	1450844	1.62	1961180	1040303	1.89
Sample-195	3779114	331707	3447407	177937	200910	0.89	13481	2359488	34437342	1419626	1.66	1957738	1036376	1.89
Sample-196	3789394	325654	3463740	180054	199749	0.9	12650	2352688	34462279	1436706	1.64	1951693	1034970	1.89
Sample-197	3822941	338988	3483953	181076	202967	0.89	14685	2422864	34423143	1400077	1.73	1971982	1044531	1.89
Sample-198	3874138	347089	3527049	183339	206959	0.89	29404	2390515	34388370	1483623	1.61	1994555	1059961	1.88
Sample-199	3832006	336004	3496002	181573	203291	0.89	14707	2425797	34444319	1406209	1.73	1979239	1050844	1.88
Sample-200	3804107	348343	3455764	179823	205016	0.88	14122	2353051	34478704	1451056	1.62	1953162	1041806	1.87
Sample-201	3800928	332400	3468528	180384	200499	0.9	14541	2357257	34454232	1443671	1.63	1962775	1039737	1.89
Sample-202	3801033	330579	3470454	180748	200963	0.9	13139	2346645	34464691	1454388	1.61	1957888	1037582	1.89
Sample-203	3752336	319631	3432705	176911	198243	0.89	14854	2323242	34491310	1429094	1.63	1959139	1033628	1.9
Sample-204	3826081	330128	3495953	181078	203855	0.89	15065	2425120	34406458	1400961	1.73	1975488	1043986	1.89
Sample-205	3810675	342452	3468223	181637	202767	0.9	14135	2378575	34459128	1432100	1.66	1955404	1040310	1.88
Sample-206	3760437	321088	3439349	176282	198746	0.89	13209	2317823	34463447	1442614	1.61	1966770	1039150	1.89
Sample-207	3760040	324578	3435462	178335	198308	0.9	12788	2336464	34470376	1423576	1.64	1939494	1026895	1.89
Sample-208	3719340	306213	3413127	175947	195211	0.9	12985	2275977	34514362	1443363	1.58	1943343	1023848	1.9
Sample-209	3800982	318105	3482877	178466	198221	0.9	27568	2404979	34415967	1396003	1.72	2002441	1049891	1.91
Sample-210	3788172	309697	3478475	178130	196178	0.91	18610	2390994	34442802	1397178	1.71	1986979	1044696	1.9
Sample-211	3735154	296927	3438227	176035	196773	0.89	13921	2316378	34490200	1418776	1.63	1953825	1028676	1.9
Sample-212	3701507	303128	3398379	174425	195281	0.89	13085	2271964	34478975	1429543	1.59	1944050	1020737	1.9
Sample-213	3751473	323922	3427551	177265	198971	0.89	13181	2313946	34494860	1437527	1.61	1947655	1031030	1.89
Sample-214	4577187	418049	4159138	208744	248595	0.84	63709	3083410	33658907	1493777	2.06	2420106	1266879	1.91
Sample-215	3759956	321770	3438186	177213	198027	0.89	13632	2338290	34477866	1421666	1.64	1960790	1035891	1.89
Sample-216	4527077	414784	4112293	206819	245429	0.84	55249	3130977	33736036	1396100	2.24	2384780	1250711	1.91
Sample-217	3855396	351547	3503849	182711	207100	0.88	14622	2444990	34453810	1410406	1.73	1979317	1054117	1.88
