SampleID	nEvalVariants	novelSites	nVariantsAtComp	nInsertions	nDeletions	InsDelRatio	nSingletons	nHets	nHomRef	nHomVar	HetHomeRatio	nTi	nTv	TiTvRatio
Sample-218	3791338	329978	3461360	177891	201893	0.88	14980	2381693	34474691	1409645	1.69	1973438	1044114	1.89
Sample-219	3689921	286637	3403284	173416	190678	0.91	12736	2254879	34514788	1435042	1.57	1953720	1023981	1.91
Sample-220	3750577	327262	3423315	177861	199318	0.89	13376	2309247	34509584	1441330	1.6	1943340	1029309	1.89
Sample-221	3820406	323801	3496605	179975	201248	0.89	14969	2395919	34420001	1424487	1.68	1985390	1050164	1.89
Sample-222	3765738	318910	3446828	178553	197156	0.91	13211	2319734	34462509	1446004	1.6	1956642	1033624	1.89
Sample-223	4118267	355888	3762379	193766	219197	0.88	28651	2760488	34104218	1357779	2.03	2147779	1127324	1.91
Sample-224	3745211	315430	3429781	177444	197699	0.9	13532	2309197	34498695	1436014	1.61	1949230	1028806	1.89
Sample-225	3794394	338211	3456183	179890	202818	0.89	13439	2343175	34461020	1451219	1.61	1953798	1037428	1.88
Sample-226	3737755	316671	3421084	176706	197081	0.9	14013	2293203	34495581	1444552	1.59	1951450	1029532	1.9
Sample-227	3736534	300992	3435542	178310	194306	0.92	14420	2300219	34493944	1436315	1.6	1939683	1022384	1.9
Sample-228	3791531	323296	3468235	179152	199227	0.9	15303	2405373	34441587	1386158	1.74	1972395	1041092	1.89
Sample-229	4028346	364842	3663504	189894	217592	0.87	27675	2616195	34210345	1412151	1.85	2076637	1100257	1.89
Sample-230	3819195	344633	3474562	180630	202303	0.89	24708	2385635	34436896	1433560	1.66	1976873	1048517	1.89
Sample-231	3677340	282297	3395043	174692	189021	0.92	13871	2246056	34533695	1431284	1.57	1930863	1013350	1.91
Sample-232	3793428	338265	3455163	179703	203705	0.88	13397	2356829	34452596	1436599	1.64	1951373	1036450	1.88
Sample-233	3756689	316733	3439956	177074	198388	0.89	14002	2326356	34463183	1430333	1.63	1957020	1032047	1.9
Sample-234	3773298	328851	3444447	179412	199551	0.9	15480	2332662	34474204	1440636	1.62	1955496	1035800	1.89
Sample-235	3766556	327583	3438973	178327	198934	0.9	13411	2308498	34503058	1458058	1.58	1954618	1033945	1.89
Sample-236	3788774	305929	3482845	180219	198339	0.91	13811	2398948	34463063	1389826	1.73	1961488	1034478	1.9
Sample-237	3783155	332388	3450767	179710	199559	0.9	14239	2351112	34467138	1432043	1.64	1951560	1034131	1.89
Sample-238	3756011	321188	3434823	178809	197531	0.91	13426	2314322	34480441	1441689	1.61	1939032	1025013	1.89
Sample-239	3728370	302768	3425602	176098	195778	0.9	13911	2306907	34483984	1421463	1.62	1946176	1025356	1.9
Sample-240	3784470	309189	3475281	178730	197772	0.9	14847	2386800	34441193	1397670	1.71	1971834	1037760	1.9
Sample-241	3777474	325055	3452419	177487	198004	0.9	23620	2348663	34453746	1428811	1.64	1978415	1042842	1.9
Sample-242	3802702	334669	3468033	180394	201061	0.9	13835	2377710	34454982	1424992	1.67	1958077	1039546	1.88
Sample-243	3814613	321318	3493295	179806	200602	0.9	14387	2432225	34437875	1382388	1.76	1982477	1046868	1.89
Sample-244	3776558	313183	3463375	178478	197964	0.9	15542	2372819	34466073	1403739	1.69	1967040	1035540	1.9
Sample-245	3811645	328507	3483138	179973	200699	0.9	14483	2416125	34437151	1395520	1.73	1978832	1045132	1.89
Sample-246	3820863	339799	3481064	181685	203214	0.89	13340	2391026	34433441	1429837	1.67	1958190	1039044	1.88
Sample-247	3802578	322824	3479754	179394	199932	0.9	13652	2420734	34439938	1381844	1.75	1975686	1044497	1.89
Sample-248	4476268	387917	4088351	204166	240461	0.85	53266	3072311	33729943	1403957	2.19	2394437	1245387	1.92
Sample-249	3809082	328341	3480741	181087	200052	0.91	15062	2362783	34438582	1446299	1.63	1958460	1037625	1.89
Sample-250	3777815	320634	3457181	178293	198980	0.9	14542	2365639	34454358	1412176	1.68	1977941	1041705	1.9
Sample-251	3863036	356071	3506965	185177	206640	0.9	14689	2405953	34414796	1457083	1.65	1956336	1044598	1.87
Sample-252	3775249	325172	3450077	180457	198290	0.91	13542	2333011	34476484	1442238	1.62	1946968	1031533	1.89
Sample-253	3841988	337314	3504674	182384	203196	0.9	14373	2429760	34430760	1412228	1.72	1972720	1047144	1.88
Sample-254	3810651	311657	3498994	179912	198602	0.91	14357	2404819	34451615	1405832	1.71	1971412	1042246	1.89
Sample-255	3832441	325486	3506955	181043	201145	0.9	18813	2439355	34444885	1393086	1.75	1993904	1054577	1.89
Sample-256	3801489	333956	3467533	181379	200453	0.9	14562	2356098	34471880	1445391	1.63	1950803	1035113	1.88
Sample-257	3806899	335881	3471018	180727	199633	0.91	19829	2373680	34436324	1433219	1.66	1968028	1039685	1.89
Sample-258	3828872	350759	3478113	182623	203262	0.9	13612	2387925	34404606	1440947	1.66	1943554	1036314	1.88
Sample-259	3809092	334339	3474753	181814	202389	0.9	13022	2363867	34475142	1445225	1.64	1950218	1035586	1.88
Sample-260	3661337	278812	3382525	170900	188100	0.91	14601	2251348	34511375	1409989	1.6	1942780	1015530	1.91
Sample-261	3764919	325408	3439511	178273	196501	0.91	14947	2367399	34328545	1397520	1.69	1952484	1027364	1.9
Sample-262	3809308	364728	3444580	183158	198071	0.92	21297	2417087	34189700	1392221	1.74	1928813	1027240	1.88
Sample-263	3777138	340105	3437033	180935	197910	0.91	12491	2338895	34331507	1438243	1.63	1928822	1023410	1.88
Sample-264	3704309	293530	3410779	175122	193402	0.91	14949	2320461	34509344	1383848	1.68	1950810	1022826	1.91
Sample-265	3832174	325318	3506856	182114	201828	0.9	15901	2413946	34402788	1418228	1.7	1978641	1046085	1.89
Sample-266	3738846	318836	3420010	176783	194742	0.91	15593	2294893	34437471	1443953	1.59	1945613	1024620	1.9
Sample-267	3719739	312472	3407267	175124	194503	0.9	14302	2297924	34438520	1421815	1.62	1941051	1021250	1.9
Sample-268	3790482	329428	3461054	180773	198203	0.91	14009	2366026	34455260	1424456	1.66	1948030	1031373	1.89
Sample-269	3850918	351325	3499593	183026	204377	0.9	15110	2460280	34384639	1390638	1.77	1960796	1042874	1.88
Sample-270	3841649	332913	3508736	183205	201928	0.91	16105	2442322	34429302	1399327	1.75	1974331	1046283	1.89
Sample-271	3746952	305926	3441026	177941	194667	0.91	14141	2304067	34467398	1442885	1.6	1950855	1025950	1.9
Sample-272	3835719	347479	3488240	182973	203965	0.9	13703	2403129	34444541	1432590	1.68	1949769	1037997	1.88
Sample-273	4516628	400899	4115729	207582	243357	0.85	56670	2997469	33717109	1519159	1.97	2373582	1243044	1.91
Sample-274	4527024	408082	4118942	208455	245191	0.85	57578	3029260	33699116	1497764	2.02	2370405	1244137	1.91
Sample-275	3782350	325018	3457332	180207	199467	0.9	13242	2343855	34481113	1438495	1.63	1949867	1032398	1.89
Sample-276	4519527	398481	4121046	207689	242860	0.86	61448	2990837	33683235	1528690	1.96	2394785	1249410	1.92
Sample-277	4100609	361430	3739179	193065	217833	0.89	26135	2746706	34141114	1353903	2.03	2126457	1120153	1.9
Sample-278	3788630	322898	3465732	179837	199020	0.9	14011	2374420	34428466	1414210	1.68	1957220	1034167	1.89
Sample-279	3845778	342193	3503585	184343	202663	0.91	14705	2404820	34432963	1440958	1.67	1966274	1045119	1.88
Sample-280	4579739	408247	4171492	210172	247259	0.85	61792	3138972	33643310	1440767	2.18	2418886	1262778	1.92
Sample-281	3748855	318960	3429895	177454	197389	0.9	13171	2320753	34462469	1428102	1.63	1952495	1027971	1.9
Sample-282	3749224	302899	3446325	175910	196081	0.9	14352	2349255	34477876	1399969	1.68	1971500	1033654	1.91
Sample-283	4500165	403643	4096522	206012	244460	0.84	62506	3008589	33714543	1491576	2.02	2383017	1246510	1.91
Sample-284	3720941	299056	3421885	176116	193450	0.91	13706	2283824	34518926	1437117	1.59	1957526	1028323	1.9
Sample-285	3870366	341663	3528703	184889	205241	0.9	13636	2476395	34413501	1393971	1.78	1973806	1049667	1.88
Sample-286	3836320	332311	3504009	183023	202259	0.9	13315	2447049	34441408	1389271	1.76	1959864	1041766	1.88
Sample-287	3823123	330789	3492334	182220	201378	0.9	14364	2417659	34461691	1405464	1.72	1963389	1042149	1.88
Sample-288	3788427	320511	3467916	180068	199501	0.9	15416	2349929	34467441	1438498	1.63	1954125	1033634	1.89
Sample-289	3795474	326317	3469157	178251	201322	0.89	15783	2386828	34458801	1408646	1.69	1982853	1046524	1.89
Sample-290	4512119	396273	4115846	206849	241709	0.86	54630	2998032	33724806	1514087	1.98	2381323	1245967	1.91
Sample-291	3709572	305912	3403660	174685	193320	0.9	12254	2289460	34527395	1420112	1.61	1948566	1024156	1.9
Sample-292	3760128	305814	3454314	178275	196551	0.91	13678	2353828	34500064	1406300	1.67	1954816	1031562	1.9
Sample-293	4293591	370466	3923125	198475	228904	0.87	43737	2873358	33945766	1420233	2.02	2273181	1190343	1.91
Sample-294	3819069	339204	3479865	182282	202226	0.9	12597	2368984	34451082	1450085	1.63	1955365	1039515	1.88
Sample-295	3826793	347751	3479042	182673	204263	0.89	13528	2387307	34460525	1439486	1.66	1953670	1039660	1.88
Sample-296	3770664	310430	3460234	177582	197995	0.9	16524	2370266	34477975	1400398	1.69	1982262	1040787	1.9
Sample-297	4323150	371796	3951354	199323	230234	0.87	44795	2972566	33912827	1350584	2.2	2291780	1197664	1.91
Sample-298	3863988	342035	3521953	184604	203813	0.91	14401	2470646	34412983	1393342	1.77	1979965	1052000	1.88
Sample-299	3832997	330119	3502878	182597	201148	0.91	15066	2421005	34431108	1411992	1.71	1971065	1044389	1.89
Sample-300	3874658	352007	3522651	184460	206659	0.89	13938	2494262	34404056	1380396	1.81	1979724	1052728	1.88
Sample-301	4424809	384944	4039865	202375	238208	0.85	52843	2965495	33771685	1459314	2.03	2356893	1227067	1.92
Sample-302	3816371	319283	3497088	181044	199253	0.91	14034	2413580	34450225	1402791	1.72	1969394	1041441	1.89
Sample-303	4566057	431476	4134581	211513	249607	0.85	56655	3072985	33711796	1493072	2.06	2366988	1247774	1.9
Sample-304	3724115	308307	3415808	176021	193146	0.91	14391	2262719	34507312	1461396	1.55	1943583	1025607	1.9
Sample-305	3729423	308070	3421353	176423	194564	0.91	12964	2285993	34503486	1443430	1.58	1948692	1028364	1.89
Sample-306	3832278	325405	3506873	181957	201202	0.9	17793	2437988	34440786	1394290	1.75	1983605	1048553	1.89
Sample-307	3721180	315702	3405478	175730	196197	0.9	14555	2296289	34517482	1424891	1.61	1948167	1025599	1.9
Sample-308	3859552	353868	3505684	184401	205825	0.9	14674	2410908	34422963	1448644	1.66	1958194	1044902	1.87
Sample-309	4400656	391807	4008849	204211	236154	0.86	46763	2945507	33849600	1455149	2.02	2299842	1208315	1.9
Sample-310	3811846	332133	3479713	181663	201351	0.9	13755	2368004	34453902	1443842	1.64	1959628	1039462	1.89
Sample-311	3713378	298577	3414801	175393	193461	0.91	13586	2296986	34476150	1416392	1.62	1949001	1024132	1.9
Sample-312	3776568	316632	3459936	178463	198419	0.9	17427	2398821	34465326	1377747	1.74	1972019	1037640	1.9
Sample-313	4470536	405188	4065348	205406	239654	0.86	50690	3007317	33744761	1463219	2.06	2359681	1236950	1.91
Sample-314	3887496	351982	3535514	185975	206746	0.9	14559	2491688	34408023	1395808	1.79	1974587	1052578	1.88
Sample-315	3806967	333776	3473191	181411	200852	0.9	13782	2359536	34467864	1447431	1.63	1950213	1037877	1.88
Sample-316	4628162	444775	4183387	214391	252701	0.85	60820	3117192	33645543	1510970	2.06	2405553	1266322	1.9
Sample-317	3839133	336148	3502985	183410	203059	0.9	15372	2438247	34438370	1400886	1.74	1963265	1040891	1.89
Sample-318	3858437	341227	3517210	183276	204507	0.9	15414	2447928	34413353	1410509	1.74	1973596	1048543	1.88
Sample-319	3874554	349573	3524981	185199	206490	0.9	14719	2480166	34414767	1394388	1.78	1969484	1048162	1.88
Sample-320	4296620	387329	3909291	200373	228957	0.88	38828	2989910	33942329	1306710	2.29	2241299	1179052	1.9
Sample-321	3836007	341557	3494450	183552	202357	0.91	15259	2381628	34452553	1454379	1.64	1959869	1041560	1.88
Sample-322	3770402	305757	3464645	178339	196439	0.91	13511	2373115	34453629	1397287	1.7	1967703	1035727	1.9
Sample-323	3678184	283407	3394777	174160	189663	0.92	13933	2241182	34492536	1437002	1.56	1936149	1014938	1.91
Sample-324	3841079	339336	3501743	183743	202727	0.91	14367	2448749	34447058	1392330	1.76	1966944	1043371	1.89
Sample-325	3785479	337289	3448190	179848	198673	0.91	21544	2351143	34353061	1434336	1.64	1953720	1030880	1.9
Sample-326	4546896	416687	4130209	208329	246347	0.85	60461	3028716	33692105	1518180	1.99	2385630	1252624	1.9
Sample-327	4578289	437613	4140676	211686	249430	0.85	57063	3109255	33683687	1469034	2.12	2378541	1253894	1.9
Sample-328	3752492	314126	3438366	178122	195842	0.91	14735	2313556	34488369	1438936	1.61	1947199	1028692	1.89
Sample-329	3775859	300221	3475638	177999	196001	0.91	14867	2370274	34468874	1405585	1.69	1965045	1035519	1.9
Sample-330	3796251	324729	3471522	180123	198743	0.91	14346	2359369	34463639	1436882	1.64	1967392	1040051	1.89
Sample-331	3869155	344667	3524488	183902	204663	0.9	20256	2471343	34423837	1397812	1.77	1987243	1054507	1.88
Sample-332	3743772	324207	3419565	177276	199818	0.89	64826	2164314	34487109	1579458	1.37	1943879	1027569	1.89
Sample-333	3825194	333033	3492161	182143	201219	0.91	16617	2404328	34434150	1420866	1.69	1964721	1041477	1.89
Sample-334	3801868	312962	3488906	179834	198741	0.9	21225	2392028	34439389	1409840	1.7	1981166	1042115	1.9
Sample-335	3837178	348717	3488461	182431	205152	0.89	13631	2400233	34436229	1436945	1.67	1955483	1040932	1.88
Sample-336	3763487	314083	3449404	179012	196294	0.91	13403	2313982	34506410	1449505	1.6	1945995	1030209	1.89
Sample-337	3830281	330056	3500225	181825	201089	0.9	14936	2444311	34416590	1385970	1.76	1980670	1046875	1.89
Sample-338	4560785	401253	4159532	209379	246665	0.85	62126	3118401	33678751	1442384	2.16	2414062	1258726	1.92
Sample-339	3826432	344634	3481798	182296	204726	0.89	13178	2384464	34448675	1441968	1.65	1959188	1043752	1.88
Sample-340	3871012	357050	3513962	183391	206656	0.89	14357	2438444	34413701	1432568	1.7	1975245	1054016	1.87
Sample-341	3776849	317647	3459202	179466	198185	0.91	12820	2339361	34568331	1437488	1.63	1960684	1035633	1.89
Sample-342	3836710	346377	3490333	181821	203120	0.9	15665	2432327	34459836	1404383	1.73	1977064	1050261	1.88
Sample-343	3773168	312138	3461030	179099	198298	0.9	14107	2361977	34482816	1411191	1.67	1956304	1032298	1.9
Sample-344	3863260	353332	3509928	184435	206696	0.89	13305	2408317	34440274	1454943	1.66	1958014	1046672	1.87
Sample-345	3788826	332751	3456075	179531	201469	0.89	14072	2359010	34459132	1429816	1.65	1952057	1034729	1.89
Sample-346	3796950	338730	3458220	181157	201890	0.9	16401	2346379	34490984	1450571	1.62	1944926	1034690	1.88
Sample-347	3898886	332020	3566866	185007	205956	0.9	20009	2521230	34381767	1377656	1.83	2012868	1065795	1.89
Sample-348	3743001	306174	3436827	177499	195581	0.91	14509	2289389	34517272	1453612	1.57	1948309	1027739	1.9
Sample-349	3834169	350107	3484062	182514	205477	0.89	28148	2400061	34435442	1434108	1.67	1969569	1045822	1.88
Sample-350	3776214	325830	3450384	179361	199944	0.9	13404	2342679	34488109	1433535	1.63	1946004	1030576	1.89
Sample-351	3770619	315154	3455465	179345	198920	0.9	12863	2335968	34487894	1434651	1.63	1947845	1030555	1.89
Sample-352	3767827	319944	3447883	177661	197811	0.9	12913	2321949	34474699	1445878	1.61	1964222	1036445	1.9
Sample-353	3881188	356388	3524800	185571	209000	0.89	15743	2470099	34435978	1411089	1.75	1964454	1052165	1.87
Sample-354	3751431	322058	3429373	177726	199743	0.89	12530	2332183	34504647	1419248	1.64	1929916	1024523	1.88
Sample-355	3807300	336584	3470716	180671	201776	0.9	13568	2382470	34474308	1424830	1.67	1961772	1039621	1.89
Sample-356	3694783	288271	3406512	174818	190250	0.92	13835	2255686	34556190	1439097	1.57	1948734	1022341	1.91
Sample-357	3815296	318703	3496593	181670	200262	0.91	14315	2412267	34472269	1403029	1.72	1975039	1043656	1.89
Sample-358	3749553	316359	3433194	178737	195897	0.91	15638	2316902	34603905	1432651	1.62	1954747	1032532	1.89
Sample-359	4478592	402109	4076483	206128	243299	0.85	54793	3018013	33780409	1460579	2.07	2347826	1232896	1.9
Sample-360	3850489	353341	3497148	184002	206676	0.89	14576	2409964	34447168	1440525	1.67	1949051	1041818	1.87
Sample-361	4561119	439490	4121629	211060	250735	0.84	56250	3070573	33718782	1490546	2.06	2365630	1249725	1.89
Sample-362	3765884	314101	3451783	178797	196934	0.91	19441	2329203	34498358	1436681	1.62	1956245	1033035	1.89
Sample-363	3892208	352404	3539804	184441	208128	0.89	14282	2491491	34412147	1400717	1.78	1987512	1059120	1.88
Sample-364	3829004	331991	3497013	181375	203854	0.89	15547	2420255	34442410	1408749	1.72	1968675	1042589	1.89
Sample-365	3853541	345114	3508427	183152	205358	0.89	14218	2410850	34404802	1442691	1.67	1967249	1046133	1.88
Sample-366	4612908	445740	4167168	212018	254625	0.83	58723	3107608	33663827	1505300	2.06	2404896	1265848	1.9
Sample-367	3777877	319563	3458314	180075	200224	0.9	13319	2357106	34477855	1420771	1.66	1950505	1032018	1.89
Sample-368	3723241	313668	3409573	174834	196290	0.89	14172	2275547	34506355	1447694	1.57	1949860	1026350	1.9
Sample-369	4665447	440538	4224909	215726	254660	0.85	61191	3240523	33636068	1424924	2.27	2425341	1278981	1.9
Sample-370	3731949	309581	3422368	177021	195643	0.9	13150	2280316	34518541	1451633	1.57	1938809	1023600	1.89
Sample-371	4628146	442137	4186009	213103	255379	0.83	57214	3183889	33650814	1444257	2.2	2403420	1268055	1.9
Sample-372	3783023	323510	3459513	178742	199372	0.9	14579	2358541	34453887	1424482	1.66	1962484	1036910	1.89
Sample-373	4545538	422741	4122797	209810	248852	0.84	55083	3056393	33734051	1489145	2.05	2360131	1243201	1.9
Sample-374	3778822	324880	3453942	178540	202113	0.88	18431	2335606	34459696	1443216	1.62	1958185	1036126	1.89
Sample-375	3792314	330586	3461728	180133	201345	0.89	12369	2350095	34468032	1442219	1.63	1956600	1037993	1.88
Sample-376	3860665	339239	3521426	183203	204314	0.9	15240	2443506	34418763	1417159	1.72	1987804	1055484	1.88
Sample-377	3826840	343837	3483003	182036	205278	0.89	63279	2242025	34450720	1584815	1.41	1956043	1041653	1.88
Sample-378	3798811	331503	3467308	181257	202368	0.9	13560	2337564	34473290	1461247	1.6	1941429	1032604	1.88
Sample-379	3788305	330326	3457979	180165	202075	0.89	12612	2341646	34461671	1446659	1.62	1953031	1034453	1.89
Sample-380	3801332	342350	3458982	180876	203306	0.89	13485	2369832	34493747	1431500	1.66	1949221	1035413	1.88
Sample-381	3819990	326343	3493647	181302	201579	0.9	16149	2413266	34433823	1406724	1.72	1969155	1042578	1.89
Sample-382	3699062	288977	3410085	173492	190833	0.91	12425	2276059	34563036	1423003	1.6	1960810	1026460	1.91
Sample-383	3767325	328277	3439048	179665	200120	0.9	12918	2330143	34513419	1437182	1.62	1932357	1026171	1.88
Sample-384	4126240	375604	3750636	194060	221774	0.88	31650	2699690	34155158	1426550	1.89	2116337	1123772	1.88
Sample-385	3770196	316117	3454079	178670	199038	0.9	14374	2334198	34467951	1435998	1.63	1951602	1032862	1.89
Sample-386	3847502	345856	3501646	183376	206317	0.89	13148	2388755	34418035	1458747	1.64	1954572	1042819	1.87
Sample-387	4514007	396574	4117433	207641	243111	0.85	57582	3116158	33735249	1397849	2.23	2382709	1247408	1.91
Sample-388	3751795	299635	3452160	176573	197278	0.9	15431	2350290	34479414	1401505	1.68	1966348	1033905	1.9
Sample-389	3849041	351129	3497912	183530	206464	0.89	15457	2427395	34439298	1421646	1.71	1955812	1043333	1.87
Sample-390	3837636	351234	3486402	183327	204813	0.9	12950	2392644	34447917	1444992	1.66	1947711	1039885	1.87
Sample-391	3792764	323747	3469017	180466	201586	0.9	13295	2358479	34464331	1434285	1.64	1954389	1036409	1.89
Sample-392	3826246	350082	3476164	183068	205057	0.89	13117	2377854	34485517	1448392	1.64	1936766	1033259	1.87
Sample-393	3766744	318412	3448332	179248	198393	0.9	12829	2337399	34562110	1429345	1.64	1955920	1033690	1.89
Sample-394	3796188	330855	3465333	181044	201053	0.9	14988	2369192	34473103	1426996	1.66	1947061	1035163	1.88
Sample-395	3937139	354222	3582917	185882	209823	0.89	21482	2566767	34344827	1370372	1.87	2027174	1075633	1.88
Sample-396	3789601	314979	3474622	180554	199046	0.91	14213	2370568	34488488	1419033	1.67	1957084	1038055	1.89
Sample-397	3869883	346041	3523842	184745	206537	0.89	13705	2455120	34437216	1414763	1.74	1967775	1047912	1.88
Sample-398	3804057	329508	3474549	180618	201333	0.9	16579	2400827	34463901	1403230	1.71	1961331	1039336	1.89
Sample-399	3827718	344639	3483079	181563	204154	0.89	14973	2385493	34447025	1442225	1.65	1959681	1042594	1.88
Sample-400	3816092	336165	3479927	181792	202718	0.9	13800	2353464	34431717	1462628	1.61	1957381	1038768	1.88
Sample-401	3782074	322277	3459797	179174	199985	0.9	14336	2348720	34463845	1433354	1.64	1954618	1034309	1.89
Sample-402	3823197	330305	3492892	180852	202202	0.89	14879	2410373	34447047	1412824	1.71	1981424	1048745	1.89
Sample-403	3794100	331834	3462266	180617	201952	0.89	13603	2342989	34470618	1451111	1.61	1944679	1033129	1.88
Sample-404	3821223	333507	3487716	181895	203369	0.89	14537	2380465	34445622	1440758	1.65	1961885	1041717	1.88
Sample-405	4586730	433248	4153482	211839	250652	0.85	57587	3183559	33690294	1403171	2.27	2382387	1254972	1.9
Sample-406	3791055	322733	3468322	179217	200170	0.9	14204	2399743	34416214	1391312	1.72	1965981	1038436	1.89
Sample-407	4525212	410992	4114220	208494	245838	0.85	55691	3124090	33717775	1401122	2.23	2371931	1243183	1.91
Sample-408	3774619	335560	3439059	178632	200686	0.89	14982	2348585	34459036	1426034	1.65	1946099	1031888	1.89
Sample-409	3862864	342493	3520371	184370	206840	0.89	14027	2465502	34410712	1397362	1.76	1974314	1047913	1.88
Sample-410	3798577	331932	3466645	181127	202247	0.9	13269	2375890	34453827	1422687	1.67	1946127	1034336	1.88
Sample-411	3797576	336673	3460903	179003	200881	0.89	20841	2374274	34441123	1423302	1.67	1969303	1041342	1.89
Sample-412	3820750	334029	3486721	180913	203035	0.89	19939	2432073	34438270	1388677	1.75	1971853	1046008	1.89
Sample-413	3722162	304472	3417690	174807	195276	0.9	15722	2294018	34494906	1428144	1.61	1956783	1029422	1.9
Sample-414	3863671	345115	3518556	183250	206664	0.89	14727	2476853	34427683	1386818	1.79	1973216	1049560	1.88
Sample-415	3838111	343927	3494184	182965	205279	0.89	12443	2394469	34453207	1443642	1.66	1947677	1040353	1.87
Sample-416	3741595	309033	3432562	178047	197512	0.9	12811	2303846	34477894	1437749	1.6	1937614	1024106	1.89
Sample-417	3814976	329432	3485544	180885	201136	0.9	21209	2363366	34419393	1451610	1.63	1975962	1045106	1.89
Sample-418	3827787	346463	3481324	181533	204775	0.89	15090	2404789	34457523	1422998	1.69	1957865	1043510	1.88
Sample-419	3781849	316707	3465142	178573	198408	0.9	15001	2379393	34464548	1402456	1.7	1981773	1041659	1.9
Sample-420	3850793	368626	3482167	181271	205315	0.88	61095	2373251	34408145	1477542	1.61	2001072	1058657	1.89
Sample-421	4471032	412551	4058481	206046	243477	0.85	49189	3025374	33789070	1445658	2.09	2348701	1233283	1.9
Sample-422	3741938	319670	3422268	176732	198345	0.89	13519	2307976	34510085	1433962	1.61	1952967	1029262	1.9
Sample-423	3963237	353037	3610200	186113	211741	0.88	26807	2579007	34292856	1384230	1.86	2054373	1085544	1.89
Sample-424	3787998	332337	3455661	178134	199643	0.89	24975	2353896	34457284	1434102	1.64	1983170	1045109	1.9
Sample-425	3787568	334855	3452713	179332	201549	0.89	13628	2354600	34478698	1432968	1.64	1954585	1036609	1.89
Sample-426	4521327	411200	4110127	206712	245675	0.84	55732	3104636	33725771	1416691	2.19	2387765	1248777	1.91
Sample-427	3769365	320935	3448430	178616	198342	0.9	13652	2332146	34481967	1437219	1.62	1962911	1038218	1.89
Sample-428	3763575	323130	3440445	178388	198596	0.9	13796	2332536	34467340	1431039	1.63	1945714	1028761	1.89
Sample-429	3808992	336721	3472271	180424	203580	0.89	12647	2359703	34451641	1449289	1.63	1958570	1040611	1.88
Sample-430	3827771	344603	3483168	181900	204698	0.89	13314	2386613	34436167	1441158	1.66	1954667	1040407	1.88
Sample-431	3767732	302885	3464847	177938	197668	0.9	13849	2351219	34457197	1416513	1.66	1970241	1037001	1.9
Sample-432	3788520	334361	3454159	178844	201301	0.89	15128	2332798	34502349	1455722	1.6	1964084	1040107	1.89
Sample-433	3833731	342048	3491683	180609	203643	0.89	20333	2441583	34413244	1392148	1.75	1985786	1050568	1.89
Sample-434	3763741	318233	3445508	176504	195833	0.9	16309	2374010	34406873	1389731	1.71	1964955	1036088	1.9
Sample-435	3746669	306282	3440387	177734	196314	0.91	13360	2345850	34518096	1400819	1.67	1958317	1028525	1.9
Sample-436	3780407	328935	3451472	179798	200613	0.9	12236	2336909	34473639	1443498	1.62	1950149	1033775	1.89
